g_ab,g_error,r_ab,r_error,i_ab,i_error,z_ab,z_error
19.817232132634665,0.033203542646857306,19.553030892978597,0.02897952370840683,19.313569801297376,0.02571054942518231,19.27059627641118,0.02503852810816366
19.846011010120115,0.03364652300599807,19.519869363665677,0.028540326043239837,19.289983331998094,0.025432793039491645,19.266012689235392,0.024985732397448283
19.88392685110234,0.03423918146962234,19.49491869911452,0.028214268382700934,19.270421232910195,0.025204706277973197,19.263254865630298,0.024954019451522733
19.902686431592407,0.034536258881146066,19.488951899346922,0.028136847834591538,19.264871377800908,0.02514037119074868,19.263206001910138,0.024953458452257327
19.939743453939837,0.03513069087163508,19.487520978917104,0.028118313337983643,19.26017660365203,0.025086075122045966,19.26547762097214,0.024979576013241186
19.9671379948741,0.03557669442186803,19.493712987046347,0.02819860673622381,19.26148651649889,0.025101212825659268,19.26907825651283,0.025021030856733014
20.047197861598395,0.036912849711073864,19.537694167497424,0.028775566944738255,19.283513207135798,0.02535712731784403,19.28850137129793,0.025245839816234864
20.094466431444072,0.03772517739004315,19.576411466739696,0.029293235905480382,19.305950262898484,0.02562049077616301,19.305705779939995,0.0254466546854914
20.119682259860543,0.0381658066189213,19.599623583273594,0.029608048202384152,19.31997538211657,0.025786504717569297,19.316549627756753,0.025574047457598774
20.160858567755266,0.038896427361099495,19.64001962206931,0.030164003711827526,19.345174490124826,0.026087489824653146,19.33662246507292,0.02581154708851237
20.188988188832443,0.03940357523228941,19.668777472986324,0.030566136088102904,19.363596768761944,0.02630975158800025,19.35201750207693,0.025995192407307906
20.208739969460407,0.0397636277555107,19.68924157344747,0.030855556531837157,19.376930072544692,0.026471796417882353,19.363607463324694,0.02613430955353127
20.251180063821668,0.04054842699447159,19.733275724509348,0.03148764729191123,19.406196445871934,0.026830989210048173,19.39066715359157,0.02646201851796549
20.299485504940193,0.04146055356038713,19.78225273356681,0.032205911742646004,19.43964620005819,0.027247498592644814,19.4249949297855,0.026883668418701958
20.32821395293529,0.04201271942363543,19.81024589218593,0.03262377755531009,19.45914567135732,0.027493278271599874,19.447151860191763,0.02715938389790804
20.359633980654234,0.0426250389599677,19.839585041205936,0.0330675543459239,19.47981774838524,0.027756260473307807,19.47283400189856,0.027482506858516692
20.39005759302457,0.043226445004323176,19.86652670039345,0.033480381531980664,19.499003411727273,0.0280025821478097,19.499158122543363,0.027817696652729984
20.40655565160354,0.04355611429873136,19.88052448522007,0.03369690075457834,19.50897582033498,0.028131478785058592,19.514003010342403,0.028008518626115402
20.444952700249896,0.04433314406584885,19.91144040742296,0.0341800856660748,19.53086870002732,0.02841653550840966,19.55008715952732,0.02847783514225941
20.516781774794698,0.045824143972325274,19.964032013959937,0.03501800995261937,19.56660373531441,0.028888044952915398,19.623095698424304,0.02945158549106228
20.53652099816284,0.04624259427871843,19.97770729290439,0.03523923882025399,19.57524829867421,0.0290032768690808,19.64433027809183,0.029741001832509086
20.56383458732626,0.04682792581675119,19.996471174335696,0.03554506315514568,19.586445404305223,0.029153216439198507,19.674443265524626,0.03015631001235961
20.595261694355415,0.047510581001375674,20.018290583443985,0.03590402799831561,19.598418367715976,0.029314404384033012,19.710031855355755,0.03065461746266308
20.679273204468004,0.049384725800692204,20.082731113223478,0.03698548157034675,19.628247280462023,0.029719866842963537,19.808695928851833,0.03207958399964669
20.7014010819039,0.049890542079167634,20.102319866861755,0.037320635249765886,19.636362970851263,0.029831149795247074,19.835072110323612,0.032471620331095664
20.722809253894848,0.05038483519698206,20.122638094852302,0.0376714793466709,19.644654164132202,0.029945270500521814,19.860528122267016,0.03285452338064636
20.74559536054939,0.050916327632757795,20.145844716318507,0.038076235224014696,19.654159076996635,0.030076633382544845,19.887407964854688,0.03326374502059701
21.844897159979862,0.08447290248044217,21.10128707597636,0.05912109676646072,20.358568201273602,0.04160169680521473,21.013330613581548,0.055867040039288836
21.868956341398583,0.0854140423268793,21.127821104697666,0.05984794991731924,20.382311922748524,0.04205908216576955,21.05058384574319,0.05683374973971412
21.888716442614943,0.0861948437967554,21.15180276010446,0.06051257011426503,20.402413733695944,0.04245023935343128,21.08210543075757,0.05766477810161269
21.913157194922753,0.0871704820804644,21.185027149077968,0.06144555636420205,20.427956470693466,0.04295252499616349,21.122277318945496,0.058741497270781096
21.940307728885603,0.0882672404811716,21.227531792341804,0.06266014806116187,20.457097266237504,0.043532825729152284,21.16838373159541,0.06000207756444442
21.97526743088292,0.08969980073395069,21.29148834531234,0.06453313101359096,20.495549401476516,0.044310564729545025,21.229601165137833,0.06171770607572578
22.08903278089194,0.09452453928095006,21.51585716324064,0.07155771893213146,20.624373206862888,0.04701885397338794,21.425524480169674,0.06754519083524956
22.10869743551647,0.09538442591031861,21.544954460506908,0.07252303287506351,20.646728835620728,0.04750542019181596,21.455956994348536,0.06849848010978957
22.13997826868756,0.0967684259396393,21.582301281076532,0.07378113292915196,20.682002871787116,0.04828341424867147,21.50128623602084,0.06994340748784095
22.1815449087151,0.09863861702936562,21.61849108575385,0.075021073067702,20.727946921066454,0.049315878878611795,21.555616002790817,0.07171545378146403
22.273391129912596,0.10290020585050869,21.681313031635643,0.07722317500225881,20.823785406229575,0.051541194133924474,21.654050455911527,0.07504117430335233
22.31321092056131,0.10480455711072009,21.71602180555729,0.07846743069976037,20.862286519346156,0.05246319004901113,21.688752732534144,0.07625003906793613
22.363940201368425,0.10728179694928255,21.777225851442928,0.08071053589615154,20.908248708388953,0.05358548059806476,21.727068019814375,0.07760740451245982
