MJD,phase,Band,mag,magerr
55803.97677,33.414765,z,19.4732,0.0410832
55813.90917,43.347165,z,19.4976,0.0347285
55817.27667,46.714665,z,19.5195,0.036675
55821.29837,50.736365,z,19.4864,0.0371001
55823.68127,53.119265,z,19.6007,0.0429449
55836.98107,66.419065,z,19.7742,0.0393664
55839.36077,68.798765,z,19.7192,0.0375445
55841.82377,71.261765,z,19.645,0.0347213
55844.20667,73.644665,z,19.7354,0.0444395
55859.06517,88.503165,z,19.8392,0.036822
55860.70727,90.145265,z,19.8528,0.0367529
55867.93287,97.370865,z,19.8239,0.0368005
55869.65827,99.096265,z,19.9357,0.0442366
55872.03797,101.475965,z,19.9657,0.0466995
56071.87597,301.313965,z,20.9869,0.123851
56074.99297,304.430965,z,21.1632,0.162266
56084.19097,313.628965,z,21.0365,0.106584
56086.65397,316.091965,z,21.0735,0.107752
56088.21297,317.650965,z,20.8928,0.151438
56090.75897,320.196965,z,21.2126,0.134489
56093.22197,322.659965,z,21.1767,0.116971
56094.69697,324.134965,z,21.361,0.151758
56127.62197,357.059965,z,21.4861,0.157552
56130.08497,359.522965,z,21.4243,0.163901
56132.54797,361.985965,z,21.6753,0.184377
56134.84697,364.284965,z,21.3403,0.164607
56136.56897,366.006965,z,21.32,0.169846
56138.95197,368.389965,z,21.5474,0.17338
56141.41497,370.852965,z,21.6867,0.202459
56147.24297,376.680965,z,21.1135,0.197134
56149.70597,379.143965,z,22.0302,0.263362
56151.26797,380.705965,z,21.7059,0.186933
56153.73097,383.168965,z,21.5301,0.160213
56156.10997,385.547965,z,22.0727,0.301351
56158.65697,388.094965,z,21.6149,0.182062
56160.29897,389.736965,z,21.7573,0.258667
56174.17297,403.610965,z,21.8298,0.294699
56193.05597,422.493965,z,21.9235,0.245208
56405.94697,635.384965,z,21.7975,0.274637
