time,lum
4.58580804,43.35361489
4.178520626,43.30004566
6.491806656,43.44192042
8.293782142,43.52092889
10.089322,43.59234782
11.64545655,43.65406642
13.25178898,43.71255776
14.86648773,43.77690674
16.63073435,43.84396597
19.20023877,43.90727557
21.99375127,43.96802018
26.57932839,44.02768037
31.85010669,44.0758879
37.64796281,44.09413186
41.33750762,44.09570886
50.29783073,43.98343294
55.83214794,43.93739045
61.10292623,43.88704602
66.11016562,43.83544536
71.38094391,43.78500896
76.65172221,43.73919901
81.13188376,43.68563071
85.87558423,43.63152862
94.04529059,43.52405904
99.84314672,43.47472129
104.8503861,43.42066965
108.6717004,43.36518968
111.438859,43.3181898
115.3919427,43.30004566
227.3959815,42.95499159
233.1938376,42.93871069
238.9916938,42.92515529
244.7895499,42.90388766
250.587406,42.87912524
256.3852621,42.85612873
262.1831183,42.83161271
267.9809744,42.80426765
273.7788305,42.77956273
279.5766866,42.75552739
285.3745428,42.73128724
291.1723989,42.70727902
296.970255,42.68960887
302.7681112,42.67194603
308.5659673,42.65603393
314.3638234,42.62422752
320.1616795,42.59309766
325.9595357,42.56573089
331.7573918,42.54101151
337.5552479,42.50683676
343.353104,42.4826942
349.1509602,42.4644661
354.9488163,42.44082463
360.7466724,42.41247224
366.9963095,42.38003083
372.3423847,42.35158304
378.1402408,42.32984265
383.9380969,42.31805775
389.7359531,42.30311124
395.5338092,42.28304677
435.0646464,42.16224413
440.8625025,42.12843824
446.6603587,42.09164864
404.1184041,42.24856494
412.4839125,42.21958662
420.8494208,42.20800086
426.6409266,42.18483888
