waveAng,fluxmaggies,fluxmaggies_adj
3418.583959,2.2979259189746118e-09,1.1951377616105281e-09
3420.160119,4.566322171135589e-09,2.3749173171077365e-09
3421.73628,6.475130607961524e-09,3.367677363762941e-09
3423.3124400000006,8.380607520906705e-09,4.35870470443284e-09
3424.8885999999998,1.1602615958342221e-08,6.034452351478489e-09
3426.4647609999997,9.33003419008375e-09,4.852495933664424e-09
3428.0409210000003,7.24408675256988e-09,3.767606934100863e-09
3429.6170809999994,9.962204498097796e-09,5.1812839945143935e-09
3431.193242,7.356282018982356e-09,3.825959032598162e-09
3432.769402,6.4528451260090245e-09,3.3560868156094097e-09
3434.345562,9.753974078279801e-09,5.072984577294038e-09
3435.921723,9.253630655281673e-09,4.812758904368357e-09
3437.4978830000005,9.125870790910463e-09,4.746311749972533e-09
3439.0740429999996,8.212211382164286e-09,4.271122862625565e-09
3440.650204,9.321402761441923e-09,4.848006778369506e-09
3442.226364,8.39185773782773e-09,4.364555876116662e-09
3443.802524,4.254924572599394e-09,2.212961256726334e-09
3445.378685,3.936555357615871e-09,2.0473792996148124e-09
3446.9548450000007,8.637366316228768e-09,4.4922434444684435e-09
3448.531005,1.0329741760925916e-08,5.372437964265022e-09
3450.107166,1.0638193878544134e-08,5.532862097336624e-09
3451.6833260000003,9.039442050893043e-09,4.701360670379275e-09
3453.2594859999995,6.2831497000964795e-09,3.26782922218309e-09
3454.835647,5.495251729376099e-09,2.8580481194378724e-09
3456.411807,6.556516299768318e-09,3.4100055836284878e-09
3457.987967,6.825882303246084e-09,3.550101258511707e-09
3459.564128,5.999121420652219e-09,3.120107783765016e-09
3461.1402880000005,8.239096612812858e-09,4.285105713035318e-09
3462.7164479999997,1.2452311810715378e-08,6.476374169179273e-09
3464.292609,1.172512893670924e-08,6.0981706313084735e-09
3465.868769,6.990126376452363e-09,3.635523635442439e-09
3467.4449289999993,6.3468921511113875e-09,3.300981296232335e-09
3469.02109,7.928373752308695e-09,4.123500579937784e-09
3470.59725,9.170274950046866e-09,4.7694060921000454e-09
3472.17341,1.0240312394589425e-08,5.325926276563038e-09
3473.749571,1.0323567521389494e-08,5.369226778578715e-09
3475.3257310000004,7.355220150293563e-09,3.825406760935543e-09
3476.9018909999995,5.655852690022813e-09,2.94157573494319e-09
3478.478052,5.546744693482265e-09,2.8848293073571053e-09
3480.054212,6.355826565521268e-09,3.305628032644051e-09
3481.630372,8.437379593582435e-09,4.388231525684735e-09
3483.206533,1.029292897521004e-08,5.3532918508260155e-09
3484.7826930000006,9.643722629001537e-09,5.015643446661098e-09
3486.3588529999997,7.574829807809126e-09,3.939624452787125e-09
3487.9350139999997,6.580672903286153e-09,3.422569291108362e-09
3489.511174,8.189480577104717e-09,4.259300704541974e-09
3491.0873339999994,1.1019049335884655e-08,5.730942781759302e-09
3492.663495,1.0683873296011844e-08,5.556619693825371e-09
3494.239655,9.728456345970911e-09,5.059712954731623e-09
3495.815815,9.484059765523855e-09,4.93260372997859e-09
3497.391976,8.248907151656228e-09,4.290208116614408e-09
3498.9681360000004,6.995520047345163e-09,3.6383288519659385e-09
3500.5442959999996,7.88228426820316e-09,4.099529710201368e-09
3502.120457,1.2086968835421036e-08,6.286361435475374e-09
3503.696617,1.2155876570627285e-08,6.322199943467309e-09
3505.272777,8.483979483193053e-09,4.412467854323817e-09
3506.848938,8.159520347291845e-09,4.243718565143908e-09
3508.4250980000006,7.621879319638012e-09,3.964094627298727e-09
3510.001258,6.768033912410735e-09,3.5200146505123594e-09
3511.5774189999997,6.65842140881229e-09,3.4630058317713153e-09
3513.1535790000003,8.021489546529308e-09,4.1719295571108465e-09
3514.7297389999994,8.856581588532799e-09,4.606256018889984e-09
3516.3059,6.425564661132601e-09,3.3418984062012197e-09
3517.88206,4.267235346668202e-09,2.2193640179480066e-09
3519.45822,7.932036141843427e-09,4.125405367204659e-09
3521.034381,1.094133966732083e-08,5.690526439972136e-09
3522.6105410000005,8.200837141822374e-09,4.265207187089637e-09
3524.1867009999996,6.982858199952677e-09,3.63174349957248e-09
3525.762862,7.593619499039433e-09,3.9493968607367955e-09
3527.339022,9.188294877916821e-09,4.778778150651215e-09
3528.915182,8.813170358751809e-09,4.583678093483075e-09
