waveAng,fluxAng
3120.689655,1.8678205160361282e-16
3122.265816,1.385454199934964e-16
3123.841976,2.6677673754284744e-16
3125.418136,3.211498255994257e-16
3126.994297,1.2253044206113936e-16
3128.570457,-1.0529205548298993e-16
3130.146617,-3.757928510194641e-16
3131.722778,-2.9544720752233794e-16
3133.298938,1.0539470735310507e-16
3134.875098,2.4938423738102355e-16
3136.451259,4.317342711575683e-17
3138.027419,-9.348575207773888e-17
3139.603579,-1.2168222980945926e-16
3141.17974,-5.741880186662064e-17
3142.7559,-7.865773463699465e-17
3144.33206,-1.401567871363346e-16
3145.908221,-4.590946802625873e-17
3147.484381,4.616996992931019e-17
3149.060541,1.2191771955310863e-16
3150.636702,2.414084814959906e-16
3152.212862,1.9512390172898524e-16
3153.789022,8.859238500733934e-18
3155.365183,-6.247884998341227e-18
3156.941343,1.0590331902655025e-17
3158.517503,-6.883376761028522e-17
3160.093664,-7.647249482134578e-18
3161.669824,4.1397722836590304e-17
3163.245984,-1.0212537675428897e-16
3164.822145,-5.12351356153646e-17
3166.398305,2.4433940484547192e-17
3167.974465,2.4409633332020647e-17
3169.550626,4.444503527555589e-17
3171.126786,-1.2447454140994288e-16
3172.702946,-5.823134712030571e-17
3174.279107,2.3890687447176695e-16
3175.855267,2.019495987290919e-16
3177.431427,1.6398658300234278e-16
3179.007588,1.7136906836610415e-16
3180.583748,-6.36455933959336e-18
3182.159908,5.1623620840051343e-17
3183.736069,2.1062304305735977e-16
3185.312229,3.027444621028613e-16
3186.888389,2.3809263145574603e-16
3188.46455,5.988890905669745e-18
3190.04071,-3.5121233011246416e-17
3191.61687,1.1654941610740215e-16
3193.193031,1.0681959985432345e-16
3194.769191,-1.4526034621437442e-17
3196.345351,1.3209579202609821e-17
3197.921512,1.2993730521006887e-16
3199.497672,1.5747600863505306e-16
3201.073832,9.141150053250201e-17
3202.649993,3.5247427378146795e-17
3204.226153,-3.3537792280477003e-17
3205.802313,-6.469833527331852e-17
3207.378474,-3.368367666835956e-17
3208.954634,-5.6178121073767125e-18
3210.530794,-5.369681036875984e-17
3212.106955,-1.1519078390564685e-17
3213.683115,1.8245711086099633e-16
3215.259275,1.4434519813189245e-16
3216.835436,-4.58020890114089e-17
3218.411596,-4.554691181231232e-17
3219.987756,2.7304526412963567e-17
3221.563917,1.4997773044056006e-17
3223.140077,-2.3918096471994068e-17
3224.716237,-8.81035764394287e-18
3226.292398,7.20972889225604e-18
3227.868558,-7.999036072772835e-17
3229.444718,-1.411176531953417e-16
3231.020879,-4.519210553134135e-17
3232.597039,5.211010386981659e-17
3234.173199,3.4459527911957995e-17
3235.74936,1.0298791649686556e-16
3237.32552,1.912350398744998e-16
3238.90168,8.617363037552314e-17
3240.477841,-6.50223727884058e-17
3242.054001,-1.2157503939788237e-16
3243.630161,-9.122485867042425e-17
3245.206322,-3.869528187756317e-17
3246.782482,-5.116107432878871e-17
3248.358642,-7.959943493519999e-18
3249.934803,1.762479220199365e-17
3251.510963,6.1710274380932054e-18
3253.087123,-5.466419732303964e-18
3254.663284,-1.3276486102485565e-17
3256.239444,6.77936090544885e-17
3257.815604,8.928132792997884e-17
3259.391765,6.243757497059616e-18
3260.967925,1.3613146439485005e-17
3262.544085,6.343835001432367e-17
3264.120246,6.235471252805969e-17
3265.696406,2.879261454509124e-17
3267.272566,-1.337396504876497e-18
3268.848727,-2.14188987837366e-17
3270.424887,-2.343515570217875e-17
3272.001048,-1.1101223876416044e-17
3273.577208,-7.807710658275073e-17
3275.153368,-1.4461943420326602e-16
3276.729529,-9.071007317963119e-17
3278.305689,-3.47758238830994e-17
3279.881849,-5.1045012651393054e-17
3281.45801,-1.0734275435728399e-16
3283.03417,-1.3634615658878792e-16
3284.61033,-6.885009776109644e-17
3286.186491,-2.5833516246444262e-17
3287.762651,4.6345113972823176e-17
3289.338811,9.160536202268638e-17
3290.914972,3.820992260194057e-17
3292.491132,1.6975418391809263e-18
3294.067292,-1.0681285019754935e-20
3295.643453,6.718508819917534e-17
3297.219613,9.818172899960801e-17
3298.795773,1.780725464545001e-17
3300.371934,-2.941211179624327e-17
3301.948094,1.8972184876729323e-17
3303.524254,-1.8675883095118357e-17
3305.100415,-2.3344870683842866e-17
3306.676575,2.7087133697488144e-17
3308.252735,7.961270226858988e-17
3309.828896,8.550295689947464e-17
3311.405056,4.568569694516002e-17
3312.981216,3.0656210327460876e-17
3314.557377,2.735508366370887e-17
3316.133537,-1.7935586730177305e-18
3317.709697,-3.3558823383735764e-17
3319.285858,3.558216066087949e-17
3320.862018,6.913179985595482e-17
3322.438178,1.7653405236866467e-17
3324.014339,1.8819717289562046e-17
3325.590499,3.7417256360391384e-17
3327.166659,2.980495634774277e-17
3328.74282,7.26430122571717e-18
3330.31898,-3.801948151947346e-17
3331.89514,-6.798912096385237e-17
3333.471301,-1.0989665370209766e-17
3335.047461,2.0164446885789002e-17
3336.623621,2.631370536408751e-18
3338.199782,4.7794164221736376e-18
3339.775942,1.7470592899937162e-17
3341.352102,-1.1815989926431379e-17
3342.928263,-3.792815904994646e-17
3344.504423,8.267208789201152e-18
3346.080583,1.7793985033181843e-17
3347.656744,-1.8478316420239932e-17
3349.232904,-1.9140687410249493e-17
3350.809064,-1.7570411708325392e-17
3352.385225,1.1039235264705809e-17
3353.961385,2.5166740587064492e-17
3355.537545,-3.9726886713570146e-19
3357.113706,-3.2872308616279235e-17
3358.689866,-3.129646620332396e-17
3360.266026,-1.2455121040533684e-17
3361.842187,2.668736995914927e-17
3363.418347,3.099545871885277e-17
3364.994507,-1.193913771908151e-17
3366.570668,-4.431321350284177e-18
3368.146828,4.2147000848396265e-18
3369.722988,-4.4230343729205344e-18
3371.299149,1.4078480923877215e-17
3372.875309,8.556382170109007e-20
3374.451469,-1.2733273505311753e-17
3376.02763,-3.747481087659076e-17
3377.60379,-4.221403819582764e-17
3379.17995,-1.5750297881534505e-17
3380.756111,-7.158083580381547e-18
3382.332271,4.659544328170555e-19
3383.908431,1.3498114463339366e-17
3385.484592,1.7477223326214468e-17
3387.060752,2.562678452436298e-17
3388.636912,3.888378800629291e-17
3390.213073,3.6004392915709073e-17
3391.789233,1.513982553038158e-17
3393.365393,-8.996964212297512e-18
3394.941554,1.038616698843468e-17
3396.517714,5.3720884195486665e-18
3398.093874,-4.443822187460156e-18
3399.670035,3.146893633585758e-17
3401.246195,2.305944240773447e-17
3402.822355,-1.835441150576866e-17
3404.398516,-4.681541097983113e-17
3405.974676,1.2666482287576053e-17
3407.550836,6.753534598109628e-17
3409.126997,5.06021912003665e-17
3410.703157,4.578378294621241e-18
3412.279317,-1.1610543063516064e-17
3413.855478,1.6907540731288514e-17
3415.431638,-1.4764058560607668e-17
3417.007798,-3.993992858893792e-17
3418.583959,-3.8411773709373225e-17
3420.160119,-1.639946821139874e-17
3421.73628,2.0369089529910265e-18
3423.31244,2.043934700275401e-17
3424.8886,5.106616792486125e-17
3426.464761,2.9494208698451255e-17
3428.040921,9.445009865436367e-18
3429.617081,3.518181284574703e-17
3431.193242,1.0445433555130807e-17
3432.769402,1.838957226333492e-18
3434.345562,3.323790517494448e-17
3435.921723,2.8593912815427103e-17
3437.497883,2.7369285564969966e-17
3439.074043,1.8594606986124398e-17
3440.650204,2.915949027947086e-17
3442.226364,2.0307281264920278e-17
3443.802524,-1.9114214694525164e-17
3445.378685,-2.212495095647445e-17
3446.954845,2.2543614058606415e-17
3448.531005,3.84608155441619e-17
3450.107166,4.1171069475694585e-17
3451.683326,2.6321923652043552e-17
3453.259486,1.7297261876890362e-19
3454.835647,-7.31071634398093e-18
3456.411807,2.725679357462424e-18
3457.987967,5.273890466380374e-18
3459.564128,-2.467042170064349e-18
3461.140288,1.8631056886927837e-17
3462.716448,5.813282262628103e-17
3464.292609,5.172638751093528e-17
3465.868769,6.7915356100136274e-18
3467.444929,8.057604751267175e-19
3469.02109,1.5649935106311584e-17
3470.59725,2.7301906406085535e-17
3472.17341,3.703529662284335e-17
3473.749571,3.790441049461118e-17
3475.325731,1.0181828903316878e-17
3476.901891,-5.686382059559477e-18
3478.478052,-6.671518336399402e-18
3480.054212,8.89876709135492e-19
3481.630372,2.0299535768879735e-17
3483.206533,3.769886772637731e-17
3484.782693,3.1385720308193174e-17
3486.358853,1.2178739285274736e-17
3487.935014,2.945249855602092e-18
3489.511174,1.7882045962768064e-17
3491.087334,4.378525092058348e-17
3492.663495,4.1066848837831146e-17
3494.239655,3.210822157544105e-17
3495.815815,2.976175333774749e-17
3497.391976,1.833587892526754e-17
3498.968136,6.752625797197469e-18
3500.544296,1.4924867708004156e-17
3502.120457,5.3130616085574375e-17
3503.696617,5.3821493338016e-17
3505.272777,1.993560664668846e-17
3506.848938,1.6846287253318195e-17
3508.425098,1.1727104783046366e-17
3510.001258,3.699563384701703e-18
3511.577419,2.8230892505772084e-18
3513.153579,1.5363375884637787e-17
3514.729739,2.311952281579674e-17
3516.3059,9.959773244052944e-19
3517.88206,-1.8623356876554288e-17
3519.45822,1.4909357495291622e-17
3521.034381,4.284666927144096e-17
3522.610541,1.7536528649270252e-17
3524.186701,6.5677302774142696e-18
3525.762862,1.2180165804073947e-17
3527.339022,2.6712606656672584e-17
3528.915182,2.3462432550965123e-17
3530.491343,-5.247732228182067e-18
3532.067503,-4.924736397777893e-18
3533.643663,6.319207501747093e-19
3535.219824,6.004652005725939e-19
3536.795984,-1.3712352471033245e-17
3538.372144,-1.3208950385918358e-17
3539.948305,3.4619443333694216e-18
3541.524465,1.8647915329454093e-18
3543.100625,2.0926945971619127e-18
3544.676786,9.775964402471252e-18
3546.252946,-1.5036167927445967e-17
3547.829106,-2.937737911449096e-18
3549.405267,3.568372198009853e-17
3550.981427,2.5165184702379897e-17
3552.557587,4.049611541880519e-18
3554.133748,-1.5993711443508393e-17
3555.709908,-1.2652727550632441e-17
3557.286068,1.3580026637145934e-17
3558.862229,2.153320318657694e-17
3560.438389,2.5519552969236188e-17
3562.014549,2.0827674201839818e-17
3563.59071,-6.157987452526441e-18
3565.16687,-1.3384630823323369e-17
3566.743031,1.0911737317224211e-17
3568.319191,2.370148957267924e-17
3569.895351,1.5527404353587895e-17
3571.471512,4.43696358781463e-18
3573.047672,-4.868324668829313e-18
3574.623832,-7.76356788299573e-18
3576.199993,-5.032262762384571e-18
3577.776153,-1.5836405300191717e-17
3579.352313,-2.6196402616668667e-17
3580.928474,-2.0482872972164424e-17
3582.504634,1.6861440053420321e-18
3584.080794,1.7541037482016186e-17
3585.656955,1.794816385011038e-17
3587.233115,1.403740474855883e-17
3588.809275,9.203172286134783e-18
3590.385436,1.772053375213796e-17
