SN,time,DL,Flux(Jy),Luminosity(erg/s/Hz),logl,logrt,freqtime,logt,freq,vlum,logvlum
,168,8.02E+25,0.0096,7.77E+27,27.89018587,2.225309282,268.8,2.429429264,8,6.21E+37,37.79327586
,,,,0,0,0,0,0,,,
98S,(17Mpc),5.25E+25,0.0001691,5.85E+25,25.76700939,2.359645793,366.24,,8,4.68E+35,35.67009938
Z=0.00302,603.2,5.25E+25,0.001185,4.10E+26,26.61258414,2.780461333,965.12,2.984581316,8,3.28E+36,36.51567412
8Ghz,724,5.25E+25,0.001015,3.51E+26,26.54533183,2.859738566,1158.4,3.063858549,8,2.81E+36,36.44842182
,972.3,5.25E+25,0.0007689,2.66E+26,26.42473565,2.987800286,1555.68,3.191920268,8,2.13E+36,36.32782563
,1057,5.25E+25,0.001185,4.10E+26,26.61258414,3.024074987,1691.2,3.22819497,8,3.28E+36,36.51567412
,,,,0,0,0,0,0,,,
78K,(4.13Mpc),1.27E+25,0.069,1.41E+27,27.14871714,3.644143051,7051.2,,8,1.13E+37,37.05180712
"z,0.001568,,,,,,,
,,,,,,,,
8Ghz",5107,1.27E+25,0.0702,1.43E+27,27.15620516,3.708165858,8171.2,3.912285841,8,1.15E+37,37.05929515
,,,,0,0,0,0,0,,,
05kd,(8.5hz)(63.3Mpc),1.95E+26,0.000254,1.22E+27,27.08560908,2.784930955,1036.048,,8.5,1.04E+37,37.01502801
Z,=,0.01504,,,,0,0,0,8.5,,
86j,(8.6Mpc),2.65E+25,0.0242,2.14E+27,27.33078021,2.683227206,819.74,,8.5,1.82E+37,37.26019914
0.00176,614.9,2.65E+25,0.05864,5.19E+27,27.71515881,2.788804493,,,8.5,4.41E+37,37.64457773
,699.3,2.65E+25,0.06385,5.65E+27,27.75212575,2.844663528,1188.81,3.07511245,8.5,4.80E+37,37.68154467
,1239,2.65E+25,0.1282,1.13E+28,28.05485287,3.093071306,2106.3,3.323520228,8.5,9.64E+37,37.9842718
,1369,2.65E+25,0.121,1.07E+28,28.02975022,3.136403448,2327.3,3.36685237,8.5,9.10E+37,37.95916914
,,,,0,0,0,0,0,,,
88Z,(70Mpc),2.16E+26,0.00067,3.93E+27,27.59423883,2.854913022,1145.6,,8,3.14E+37,37.49732881
Z,0.02284,2.16E+26,0.00077,4.51E+27,27.65465475,2.886490725,1232,,8,3.61E+37,37.55774474
8Ghz,875,2.16E+26,0.00121,7.09E+27,27.85094939,2.942008053,1400,3.146128036,8,5.68E+37,37.75403938
