waveAng,fluxAng
3428.0409210000003,9.586034556895838e-18
3429.6170809999994,3.576125279397472e-17
3431.193242,1.064822954473554e-17
3432.769402,1.951489834354257e-18
3434.345562,3.3662452430146845e-17
3435.921723,2.882936588637081e-17
3437.4978830000005,2.7577841434857674e-17
3439.0740429999996,1.8799492390029074e-17
3440.650204,2.939885833690676e-17
3442.226364,2.048298021127673e-17
3443.802524,-1.9059817427666482e-17
3445.378685,-2.2081284021606184e-17
3446.9548450000007,2.2768110740629607e-17
3448.531005,3.887186367846738e-17
3450.107166,4.177253066209591e-17
3451.6833260000003,2.6529663385182922e-17
3453.2594859999995,3.160060938773387e-19
3454.835647,-7.163817922786972e-18
3456.411807,2.9081399015280903e-18
3457.987967,5.4579278411743656e-18
3459.564128,-2.3740669463318666e-18
3461.1402880000005,1.88148401913236e-17
3462.7164479999997,5.861202882506372e-17
3464.292609,5.1693178984357666e-17
3465.868769,6.982397431829793e-18
3467.4449289999993,9.141416031714934e-19
3469.02109,1.580382573530131e-17
3470.59725,2.7472035382663923e-17
3472.17341,3.75038022752564e-17
3473.749571,3.8251536389095634e-17
3475.3257310000004,1.0369545229350994e-17
3476.9018909999995,-5.567876990944803e-18
3478.478052,-6.584565488443049e-18
3480.054212,9.911190290619e-19
3481.630372,2.0447478118679772e-17
3483.206533,3.775797748599959e-17
3484.7826930000006,3.1666366105271344e-17
3486.3588529999997,1.2351247337325995e-17
3487.9350139999997,3.0807987370177558e-18
3489.511174,1.804845011574167e-17
3491.0873339999994,4.433836590842643e-17
3492.663495,4.118507182052919e-17
3494.239655,3.2281531521785107e-17
3495.815815,2.9986441144023096e-17
3497.391976,1.8517695931859508e-17
3498.9681360000004,6.9008375581897674e-18
3500.5442959999996,1.5094296041075855e-17
3502.120457,5.377650281237622e-17
3503.696617,5.4215475337699974e-17
3505.272777,2.0156674492130358e-17
3506.848938,1.7000737426354595e-17
3508.4250980000006,1.1888072204545117e-17
3510.001258,3.87665530738863e-18
3511.5774189999997,2.9645316007629382e-18
3513.1535790000003,1.5573951243154715e-17
3514.7297389999994,2.3318031010791667e-17
3516.3059,1.117526764894445e-18
3517.88206,-1.8546532069746224e-17
