waveAng,fluxAng
3120.689655,5.726937797748597e-17
3122.265816,3.32087694066278e-17
3123.841976,9.726262372028787e-17
3125.418136,1.2456015244468418e-16
3126.994297,2.5523099007804788e-17
3128.570457,-8.886876120689348e-17
3130.146617,-2.2451008791789996e-16
3131.722778,-1.8424514828415505e-16
3133.298938,1.6596211002068557e-17
3134.875098,8.896766348588172e-17
3136.451259,-1.4054797691188992e-17
3138.027419,-8.273784201800595e-17
3139.603579,-9.684223506146842e-17
3141.17974,-6.458849074837899e-17
3142.7559,-7.518893051451117e-17
3144.33206,-1.0594706906313651e-16
3145.908221,-5.868607903477688e-17
3147.484381,-1.2733531119795297e-17
3149.060541,2.5736837994671488e-17
3150.636702,8.566482833936047e-17
3152.212862,6.225195935026525e-17
3153.789022,-3.109104810377818e-17
3155.365183,-3.8627636556163165e-17
3156.941343,-3.014339885186124e-17
3158.517503,-6.990713007850917e-17
3160.093664,-3.9203975232556195e-17
3161.669824,-1.443552026413855e-17
3163.245984,-8.650769528035034e-17
3164.822145,-6.093828479521845e-17
3166.398305,-2.298109101642573e-17
3167.974465,-2.297549729203735e-17
3169.550626,-1.2826746306660772e-17
3171.126786,-9.750954165536521e-17
3172.702946,-6.427453753923401e-17
3174.279107,8.479546302569948e-17
3175.855267,6.618296205132091e-17
3177.431427,4.723225962817857e-17
3179.007588,5.0862291724612897e-17
3180.583748,-3.810816361628629e-17
3182.159908,-9.01561246914724e-18
3183.736069,7.046820491967633e-17
3185.312229,1.1682805630336802e-16
3186.888389,8.477858807226736e-17
3188.46455,-3.171974098067408e-17
3190.04071,-5.2288057104123584e-17
3191.61687,2.399901067422011e-17
3193.193031,1.8901049605708626e-17
3194.769191,-4.1912582586435603e-17
3196.345351,-2.796651511933508e-17
3197.921512,3.0473461954347215e-17
3199.497672,4.4544073810701687e-17
3201.073832,1.1474280745873455e-17
3202.649993,-1.679703697074415e-17
3204.226153,-5.123673748063969e-17
3205.802313,-6.679718793203497e-17
3207.378474,-5.124261110397297e-17
3208.954634,-3.711371689386254e-17
3210.530794,-6.116182898244248e-17
3212.106955,-3.9996170886171596e-17
3213.683115,5.73666236600443e-17
3215.259275,3.8258738051685656e-17
3216.835436,-5.708935116361645e-17
3218.411596,-5.694332346673123e-17
3219.987756,-2.0403924787195543e-17
3221.563917,-2.6502713362764264e-17
3223.140077,-4.600060792864642e-17
3224.716237,-3.836361572025355e-17
3226.292398,-3.031589153540666e-17
3227.868558,-7.398319251330516e-17
3229.444718,-1.0461290332023359e-16
3231.020879,-5.647717945228289e-17
3232.597039,-7.84174382065782e-18
3234.173199,-1.648293044989439e-17
3235.74936,1.7763537198101498e-17
3237.32552,6.188547891069457e-17
3238.90168,9.459345258051637e-18
3240.477841,-6.62264235543913e-17
3242.054001,-9.453587562856332e-17
3243.630161,-7.931481279537151e-17
3245.206322,-5.2926242579626544e-17
3246.782482,-5.915314998501301e-17
3248.358642,-3.748812921390232e-17
3249.934803,-2.4603280440028212e-17
3251.510963,-3.0328595844303854e-17
3253.087123,-3.6093299325208495e-17
3254.663284,-3.99767682856722e-17
3256.239444,8.879729319424904e-19
3257.815604,1.1421698820346007e-17
3259.391765,-3.014327380707804e-17
3260.967925,-2.63895154936002e-17
3262.544085,-1.516921367733316e-18
3264.120246,-1.9978511422465445e-18
3265.696406,-1.8677346240109446e-17
3267.272566,-3.374203591689381e-17
3268.848727,-4.379890419164009e-17
3270.424887,-4.4748249305269553e-17
3272.001048,-3.854389826241142e-17
3273.577208,-7.209901212263047e-17
3275.153368,-1.0539977948437702e-16
3276.729529,-7.838539497894993e-17
3278.305689,-5.027358214710013e-17
3279.881849,-5.840720223360884e-17
3281.45801,-8.659403256493037e-17
3283.03417,-1.0113292806816794e-16
3284.61033,-6.724901253765328e-17
3286.186491,-4.563727738405175e-17
3287.762651,-9.335067032716188e-18
3289.338811,1.313617733537523e-17
3290.914972,-1.3686800297404917e-17
3292.491132,-3.1755619659574315e-17
3294.067292,-3.2574932605232915e-17
3295.643453,1.376431141364156e-18
3297.219613,1.6856633973021825e-17
3298.795773,-2.352852211153064e-17
3300.371934,-4.714720366913763e-17
3301.948094,-2.286863097348693e-17
3303.524254,-4.1722974652824125e-17
3305.100415,-4.4048551875957244e-17
3306.676575,-1.8745236258881126e-17
3308.252735,7.49735917982162e-18
3309.828896,1.0830284202419709e-17
3311.405056,-9.150872577543562e-18
3312.981216,-1.681418440956982e-17
3314.557377,-1.8429812590300456e-17
3316.133537,-3.300807213988897e-17
3317.709697,-4.890816822417512e-17
3319.285858,-1.429316100010202e-17
3320.862018,2.842660383864162e-18
3322.438178,-2.313925640576776e-17
3324.014339,-2.2548449216830948e-17
3325.590499,-1.3387674225019643e-17
3327.166659,-1.6952939246323127e-17
3328.74282,-2.8232518134471e-17
3330.31898,-5.0926540612856444e-17
3331.89514,-6.589301701660672e-17
3333.471301,-3.728749668720179e-17
3335.047461,-2.1630452231014413e-17
3336.623621,-3.042161980281304e-17
3338.199782,-2.928431682451604e-17
3339.775942,-2.2936441465766556e-17
3341.352102,-3.7540962679142276e-17
3342.928263,-5.0625859168262035e-17
3344.504423,-2.7425325405271827e-17
3346.080583,-2.2656037211886186e-17
3347.656744,-4.0787554297017274e-17
3349.232904,-4.110640922078697e-17
3350.809064,-4.025389613893937e-17
3352.385225,-2.589129302242983e-17
3353.961385,-1.8774333363971995e-17
3355.537545,-3.158402083464342e-17
3357.113706,-4.7818035512105354e-17
3358.689866,-4.6981029118892234e-17
3360.266026,-3.754764284187636e-17
3361.842187,-1.78747013500643e-17
3363.418347,-1.5710108201254484e-17
3364.994507,-3.718381446807027e-17
3366.5706680000003,-3.337930533085267e-17
3368.1468279999995,-2.903052234170602e-17
3369.722988,-3.3344348956583556e-17
3371.299149,-2.4038808555455478e-17
3372.875309,-3.1014046821938907e-17
3374.451469,-3.742581231360749e-17
3376.0276300000005,-4.976096098944554e-17
3377.6037899999997,-5.210586445388683e-17
3379.17995,-3.8827638553668705e-17
3380.756111,-3.4506211177256353e-17
3382.332271,-3.066685745795502e-17
3383.908431,-2.4072251068666227e-17
3385.484592,-2.2059747222394002e-17
3387.060752,-1.7966150386337823e-17
3388.636912,-1.1291548912101816e-17
3390.2130730000003,-1.2846897980103463e-17
3391.7892329999995,-2.3101025216871436e-17
3393.365393,-3.5180219674982635e-17
3394.941554,-2.5455779219058303e-17
3396.517714,-2.792049219051976e-17
3398.093874,-3.279649480535213e-17
3399.6700350000006,-1.4800060620475987e-17
3401.2461949999997,-1.899804944611077e-17
3402.822355,-3.9717730234272205e-17
3404.398516,-5.393630530822287e-17
3405.9746759999994,-2.4089344491284213e-17
3407.550836,3.4198026005147407e-18
3409.126997,-4.8409119985801125e-18
3410.703157,-2.806796474649674e-17
3412.279317,-3.6178798992172604e-17
3413.8554780000004,-2.1831059970718477e-17
3415.4316379999996,-3.767400278083576e-17
3417.007798,-5.0256118775280994e-17
3418.583959,-4.945568377642793e-17
3420.160119,-3.842370941607445e-17
3421.73628,-2.915200441910209e-17
3423.3124400000006,-1.991346040906033e-17
3424.8885999999998,-4.3332144081865146e-18
3426.4647609999997,-1.529543549349344e-17
3428.0409210000003,-2.5337733572098745e-17
3429.6170809999994,-1.222243624792524e-17
3431.193242,-2.4751297797349257e-17
3432.769402,-2.907205567282149e-17
3434.345562,-1.3189000403243241e-17
3435.921723,-1.5578007624301768e-17
3437.4978830000005,-1.6176271685456034e-17
3439.0740429999996,-2.0537985842606405e-17
3440.650204,-1.5210880216607964e-17
3442.226364,-1.964143430527542e-17
3443.802524,-3.938548574267017e-17
3445.378685,-4.086890916354557e-17
3446.9548450000007,-1.8416939378353076e-17
3448.531005,-1.0337827891581383e-17
3450.107166,-8.860296682589163e-18
3451.6833260000003,-1.645456987090674e-17
3453.2594859999995,-2.9534275248200536e-17
3454.835647,-3.324710108494385e-17
3456.411807,-2.818407306465546e-17
3457.987967,-2.6882166965435045e-17
3459.564128,-3.07711891240477e-17
3461.1402880000005,-2.0149797181344723e-17
3462.7164479999997,-2.243012676708445e-19
3464.292609,-3.656861284343456e-18
3465.868769,-2.5985423817376437e-17
3467.4449289999993,-2.899276006525667e-17
3469.02109,-2.1521162826101555e-17
3470.59725,-1.5660339290329466e-17
3472.17341,-1.0617773509796728e-17
3473.749571,-1.0217260413592192e-17
3475.3257310000004,-2.4131646217083524e-17
3476.9018909999995,-3.2073783731127556e-17
3478.478052,-3.255559048166369e-17
3480.054212,-2.874124679085029e-17
3481.630372,-1.8986601798019868e-17
3483.206533,-1.0304922568504239e-17
3484.7826930000006,-1.3324334583745452e-17
3486.3588529999997,-2.295553608172568e-17
3487.9350139999997,-2.756443820365264e-17
3489.511174,-2.0054326012698943e-17
