waveAng,fluxmaggies
4428.76259553,6.724648184249648e-09
4430.682359628,6.554573882673801e-09
4432.602122508,7.067009706682944e-09
4434.521885388,7.348192485102968e-09
4436.441649486,7.050824192015825e-09
4438.361412366,6.574495298913945e-09
4440.281175246,6.409627018031963e-09
4442.200939343999,6.831590832087191e-09
4444.120702224,6.6961697871564224e-09
4446.040465104,6.868654159052163e-09
4447.960229202,7.083983988769084e-09
4449.879992082,7.4016431520395e-09
4451.799754962,7.603293936454501e-09
4453.71951906,7.68164979713368e-09
4455.63928194,7.829810863237244e-09
4457.55904482,7.914505342845115e-09
4459.478808918,7.427764875996694e-09
4461.3985717979995,7.716924655339106e-09
4463.318334678,7.54434605475069e-09
4465.238098776,7.516531998508279e-09
4467.157861656,7.350278236317751e-09
4469.077624536,7.587859080262547e-09
4470.997388633999,7.407694266107624e-09
4472.917151514,7.66384999503273e-09
4474.836914394,7.98150133601814e-09
4476.756678492,7.404286622039619e-09
4478.676441372,7.322714369357694e-09
4480.5962042520005,7.433315211594179e-09
4482.51596835,7.239895296944141e-09
4484.43573123,7.297163883325318e-09
4486.35549411,7.571984576269474e-09
4488.275258207999,7.694663718450216e-09
4490.1950210879995,7.3100507633301994e-09
4492.114783968,7.036159384577816e-09
4494.034548066,7.49002034012272e-09
4495.954310946,7.922583162255595e-09
4497.874073826,8.043388022654962e-09
4499.7938379239995,8.04970320718471e-09
4501.713600804,7.951235760678976e-09
4503.633363684,7.732109249082386e-09
4505.553127782,8.089451181902342e-09
4507.472890662,8.838013317839424e-09
4509.392653542,8.60146808776258e-09
4511.31241764,7.751358746080036e-09
4513.23218052,6.992442495298008e-09
4515.1519434,7.185669054398024e-09
4517.071707497999,7.666666320359355e-09
4518.991470378,7.522088622932957e-09
4520.911233258,7.512678940568823e-09
4522.830997356,7.942318557694342e-09
4524.750760236,8.855792028672939e-09
4526.670524334,9.105102821834915e-09
4528.5902872139995,9.077003338379176e-09
4530.510050094,8.09927152224405e-09
4532.429814192,6.674226669846598e-09
4534.349577072,6.340709218603144e-09
4536.269339952,7.464521279597774e-09
4538.18910405,8.7750639831075e-09
4540.10886693,8.731445522331946e-09
4542.02862981,8.545847647387583e-09
4543.948393908,8.862052870704024e-09
4545.868156787999,8.238999081167078e-09
4547.787919668,6.994347900967445e-09
4549.707683766,6.026654820055874e-09
4551.627446646,6.434175386380229e-09
4553.547209526,7.626139932165298e-09
4555.466973624,9.011928970287198e-09
4557.386736504,9.620807540235814e-09
4559.306499384,9.311545253645172e-09
4561.226263482,8.731677498802844e-09
4563.146026362,8.138330322042152e-09
4565.0657892419995,7.61846587431778e-09
4566.9855533400005,6.548431847150647e-09
4568.90531622,6.461353287357908e-09
4570.8250791,7.98381119195026e-09
4572.744843198,9.124984542829555e-09
4574.664606077999,1.0162877341525779e-08
4576.584368958,1.004789633512425e-08
4578.504133056,8.874458474503307e-09
4580.423895936,9.11832728846878e-09
4582.343658816,9.715438490067365e-09
4584.263422914,9.79787381677916e-09
4586.183185794,9.671025067475272e-09
4588.102948674,9.295658524781634e-09
4590.022712772,8.414355874648528e-09
4591.942475651999,8.125638300118174e-09
4593.8622385319995,7.506375445162255e-09
4595.78200263,8.746320380479524e-09
4597.70176551,9.624913282519239e-09
4599.62152839,9.905709355770326e-09
4601.541292488,1.0483480935883708e-08
4603.4610553679995,1.0958824106148249e-08
4605.380818248,1.156281017104174e-08
4607.300582346,1.169588322840684e-08
4609.220345226,1.1824552664419314e-08
4611.140108106,1.1695088309886125e-08
4613.059872204,1.0751060495643406e-08
4614.979635084,1.0373941768256437e-08
4616.899397964,1.0163572207371056e-08
4618.819162062,1.020795658978162e-08
4620.738924941999,9.831088112736335e-09
4622.658687822,8.930428657087766e-09
4624.57845192,8.118970094840132e-09
4626.4982148,7.2213207402150045e-09
4628.41797768,7.504953045397808e-09
4630.337741778,9.097689276368007e-09
4632.257504658,1.0185965866181957e-08
4634.177267538,1.1008147106551938e-08
4636.097031636,1.120053169964745e-08
4638.016794516,1.1032623399678423e-08
4639.936557396,1.1617003641814384e-08
4641.856321494,1.2262202569955415e-08
4643.776084374,1.2198041631206341e-08
4645.695847254,1.1395317767331548e-08
4647.615611352,1.0993006444946961e-08
4649.535374231999,1.1238096618015357e-08
4651.455137112,1.1792894562003344e-08
4653.37490121,1.0864965651704346e-08
4655.29466409,1.0578185467845986e-08
4657.21442697,1.1072151337564095e-08
4659.134191068,1.0249134211213321e-08
4661.053953948,9.624086657852832e-09
4662.973716828,9.505445523774884e-09
4664.893480926,9.214823275635172e-09
4666.813243806,9.023823267643873e-09
4668.7330066859995,7.908255925180254e-09
4670.652770784,7.02768491275298e-09
4672.572533664,6.788216403265733e-09
4674.492296544,7.590627787791698e-09
4676.412060642,7.973366067882262e-09
4678.3318235219995,8.70317136196479e-09
4680.251586402,9.701345144458143e-09
4682.1713505,1.0905081099816485e-08
4684.09111338,1.1476974811312528e-08
4686.01087626,1.1701312344822176e-08
4687.930640358,1.2110468925691844e-08
4689.850403238,1.1855515196423683e-08
4691.770166118,1.2075814324977409e-08
4693.689930216,1.2659068841445979e-08
4695.609693095999,1.2563211950189936e-08
4697.529455976,1.2183822811067011e-08
4699.449220074,1.22175709758854e-08
4701.368982954,1.1731910647217046e-08
4703.288745834,1.1885427544775987e-08
4705.208509932,1.285682046050662e-08
4707.1282728119995,1.3197276164026374e-08
4709.04803691,1.2848951994765026e-08
4710.96779979,1.282500490428242e-08
4712.88756267,1.2908342256566012e-08
4714.807326768,1.2665848153219421e-08
4716.727089648,1.183920102571641e-08
4718.646852528,1.163305811508157e-08
4720.566616626,1.230941292029301e-08
4722.486379506,1.2226406161035095e-08
4724.406142385999,1.1009408788552595e-08
4726.3259064839995,1.1050774306834567e-08
4728.245669364,1.1026232598492374e-08
4730.165432244,1.0365649678702446e-08
4732.085196342,1.0387947627879831e-08
4734.004959222,9.14593920385799e-09
4735.924722102,8.002644030304567e-09
4737.8444862,7.3966982966264495e-09
4739.76424908,8.446368809985054e-09
4741.68401196,9.855530370681738e-09
4743.603776058,1.048263638937714e-08
4745.5235389380005,1.0635909306789779e-08
4747.443301818,1.1365568596371555e-08
4749.363065916,1.1652019054017951e-08
4751.282828796,1.1696013458266608e-08
4753.202591675999,1.2363689016196133e-08
4755.1223557739995,1.2443053676754928e-08
4757.042118654,1.2419640713708407e-08
4758.961881534,1.230648873312876e-08
4760.881645632,1.3280706059276552e-08
4762.801408512,1.3873554661196239e-08
4764.721171392,1.4114156857422721e-08
4766.64093549,1.4089546861400338e-08
4768.56069837,1.3781384168390444e-08
4770.48046125,1.3791810222220627e-08
4772.400225348,1.3667663665917883e-08
4774.319988228,1.3469092707617028e-08
4776.239751108,1.3123988711764613e-08
4778.159515206,1.3154794184173535e-08
4780.079278086,1.336276517154171e-08
4781.9990409659995,1.3224121042887652e-08
4783.918805064,1.2598908978035466e-08
4785.838567944,1.1652272870944088e-08
4787.758330824,1.0677400293465773e-08
4789.678094922,9.28607351580408e-09
4791.597857802,7.555761137232845e-09
4793.517620682,7.892215652831757e-09
4795.43738478,9.802915142907923e-09
4797.35714766,1.1267837336650502e-08
4799.276910539999,1.2333612228412329e-08
4801.196674637999,1.2779331158094436e-08
4803.116437518,1.2768760245057014e-08
4805.036200398,1.2621185884209131e-08
4806.955964496,1.346307899750365e-08
4808.875727376,1.3665963780855747e-08
4810.7954902559995,1.3401959579886525e-08
4812.715254354,1.3816091552363945e-08
4814.635017234,1.3599430320108292e-08
4816.554780114,1.3540424547265304e-08
4818.474544212,1.371278825329442e-08
4820.394307092,1.2893998909103137e-08
