waveAng,fluxmaggies
3002.37,2.4484449610229888e-09
3014.5499999999997,2.4435812933022433e-09
3026.73,2.4902281719915923e-09
3038.91,2.4804633972644403e-09
3051.09,2.5876629949270596e-09
3060.834,2.521547995953156e-09
3066.924,2.538538459014004e-09
3075.45,2.509258364068073e-09
3087.63,2.5366068849130985e-09
3099.81,2.5623927574348477e-09
3111.99,2.657006154854848e-09
3124.17,2.6629383724304985e-09
3136.35,2.7420363865829103e-09
3148.5299999999997,2.766253823910993e-09
3160.71,2.778354479736519e-09
3172.89,2.763293953988006e-09
3185.0699999999997,2.773632816056692e-09
3197.25,2.8423331348816446e-09
3209.43,2.9003061613502033e-09
3221.61,3.041212349512971e-09
3233.79,3.0854235284433425e-09
3245.97,3.032156023979702e-09
3258.15,3.1030486368844876e-09
3270.33,3.1470673853079984e-09
3282.5099999999998,3.1066215713796326e-09
3294.69,3.1603253616241807e-09
3306.87,3.122230291155053e-09
3319.0499999999997,3.139828660862345e-09
3331.23,3.2285857356689236e-09
3343.41,3.0906109493260602e-09
3355.59,3.152577173912829e-09
3367.77,3.2482229215411462e-09
3379.95,3.3370947756531025e-09
3392.13,3.301794577260477e-09
3404.31,3.0107785002237016e-09
3416.49,3.1422083450722514e-09
3428.67,3.463403023965568e-09
3440.85,3.523941618071503e-09
3453.0299999999997,3.5140064197367325e-09
3465.21,3.4976535656659125e-09
3477.39,3.452267907660421e-09
3489.5699999999997,3.6158642705224015e-09
3501.75,3.648438344835422e-09
3513.93,3.6872554347096203e-09
3526.11,3.7189523207750553e-09
3544.38,3.8678209077170776e-09
3568.74,3.8771395935196714e-09
3593.1,3.9180719211356794e-09
3617.46,4.0028644596326755e-09
3641.8199999999997,4.074725653310724e-09
3666.18,4.150921217524074e-09
3690.54,4.209436267406547e-09
3714.9,4.275925579347998e-09
3739.2599999999998,4.317600186054522e-09
3763.62,4.377877371206203e-09
3787.98,4.432617879121253e-09
3812.3399999999997,4.466764749225654e-09
3836.7,4.522926958476258e-09
3861.06,4.6056546278658114e-09
3885.42,4.575388508970122e-09
3909.7799999999997,4.708581441612128e-09
3934.14,4.6976219188568e-09
3958.5,4.867663228614667e-09
3982.86,5.008835899023544e-09
4007.22,5.065022002512955e-09
4031.58,5.1252031555048645e-09
4055.94,5.167517765316277e-09
4080.2999999999997,5.1978661439156e-09
4104.66,5.1450254258827185e-09
4129.0199999999995,5.275056436244263e-09
4153.38,5.367377239628421e-09
4177.74,5.481576208764937e-09
4202.099999999999,5.559725158817602e-09
4226.46,5.638491408395774e-09
4250.82,5.746828837284394e-09
4275.18,5.873511927503966e-09
4299.54,5.88457862545893e-09
4323.9,6.079312366460144e-09
4348.26,5.960157767127312e-09
4372.62,5.996325422903707e-09
4387.0257732,5.695294967283218e-09
4388.122095,5.66289014854002e-09
4389.2187822,6.149548902253466e-09
4390.315103999999,6.157893165975961e-09
4391.4115476,5.972170807459056e-09
4392.5082348,6.223940237241435e-09
4393.6045566,6.46713880767004e-09
4394.7012438,6.279415336107719e-09
4395.7975656,5.893453702646325e-09
4396.8938874,5.920829755199686e-09
4397.9905745999995,5.962089789242973e-09
4399.0870182,5.816935564904588e-09
4400.1835836,6.163511385300088e-09
4401.2800272,5.691396551786886e-09
4402.376349,5.627342090756303e-09
4403.4730362,6.0970750584354695e-09
4404.569358,6.4099652558688254e-09
4405.666045200001,6.4414989914871566e-09
4406.762367,6.3193713298841895e-09
4407.8588106,6.1177765868283784e-09
4408.955376,5.9739873588629685e-09
4410.051819599999,5.98267392028894e-09
4411.1485068,6.112865904086486e-09
4412.2448286,6.4042821583824295e-09
4413.3411504,6.520486011353931e-09
4414.4378375999995,6.287586271068593e-09
4415.5341594,6.011748257778006e-09
4416.6308466,6.021848165280323e-09
4417.7272901999995,6.3137551586263134e-09
4418.823612,6.586221906850927e-09
4419.9202992,6.585188028114287e-09
4421.016621,6.1003045021164255e-09
4422.1133082,5.781955702299298e-09
4423.209629999999,5.856760114167399e-09
4424.3059518,6.098736560353408e-09
4425.402639,5.742816604503426e-09
4426.4990826,5.971961923922798e-09
4427.5956479999995,6.305966943241413e-09
4428.6920916,6.293825140452862e-09
4429.7884134,6.333679505863343e-09
4430.8851005999995,5.9643087794222276e-09
4431.9814224,5.8430145492169944e-09
4433.0781096,5.997708874516613e-09
4434.1744314,6.051449297936506e-09
4435.270875,6.019911669561827e-09
4436.3675622,5.918481576278814e-09
4437.463884,5.844912264413405e-09
4438.5605712,5.86734563625149e-09
4439.656893,5.905247700419039e-09
4440.7532148,5.93309561470005e-09
4441.849902,6.230358505129389e-09
4442.9462238,6.3582288251047975e-09
4444.0429110000005,6.458091708940043e-09
