waveAng,fluxmaggies,fluxmaggies_adj
3599.8423979999993,8.042655931203846e-09,8.365876138697923e-09
3601.418558,6.5315957238672745e-09,6.794089077206562e-09
3602.994718,8.122590793308443e-09,8.449023442430816e-09
3604.570879,7.2967516816934105e-09,7.58999530827196e-09
3606.147039,6.732618651327024e-09,7.003190762837791e-09
3607.7231990000005,1.0237305448949122e-08,1.0648724763624977e-08
3609.2993599999995,9.50626885531483e-09,9.888309094036e-09
3610.87552,6.186597968246402e-09,6.4352264680956715e-09
3612.45168,6.699172763995386e-09,6.968400744073001e-09
3614.027841,7.216406329156504e-09,7.506421017217691e-09
3615.604001,7.249542815155488e-09,7.540889200354017e-09
3617.1801610000007,8.298928209888617e-09,8.632447549883204e-09
3618.7563219999997,8.8779667217613e-09,9.234756601930112e-09
3620.332482,8.861076245580592e-09,9.217187327195481e-09
3621.9086420000003,8.361243835262904e-09,8.697267530726118e-09
3623.4848029999994,8.700895143829742e-09,9.050568828471864e-09
3625.060963,9.125787634462411e-09,9.492537001585507e-09
3626.637123,9.114640368680423e-09,9.480941746782247e-09
3628.213284,7.588883303293051e-09,7.89386718634368e-09
3629.789444,6.43279205176395e-09,6.69131465916165e-09
3631.3656040000005,7.0396969304680885e-09,7.322609978349864e-09
3632.9417649999996,7.066571419549012e-09,7.350564505916996e-09
3634.517925,6.907741029816732e-09,7.185351001954197e-09
3636.094085,5.424917960446523e-09,5.642935879379357e-09
3637.670246,4.335318380366913e-09,4.509547207068112e-09
3639.246406,5.506093093244407e-09,5.727373298105015e-09
3640.822566,6.596191978580757e-09,6.861281341873775e-09
3642.398727,7.306576873623084e-09,7.60021535739823e-09
3643.974887,7.417016162213107e-09,7.715093006907694e-09
3645.5510470000004,7.732597752470662e-09,8.04335726666608e-09
3647.1272079999994,7.803847554490183e-09,8.117470473012437e-09
3648.703368,7.314529410333479e-09,7.608487492583013e-09
3650.279528,5.8602673727259776e-09,6.0957812194434934e-09
3651.855689,4.052504691515147e-09,4.215367733085817e-09
3653.431849,6.8259221119350054e-09,7.100243925553583e-09
3655.0080090000006,9.95359502298101e-09,1.0353612514237582e-08
3656.5841699999996,7.986149098593509e-09,8.307098395791614e-09
3658.16033,7.605313193853432e-09,7.91095736533135e-09
3659.7364900000002,7.862684567545004e-09,8.178672042220173e-09
3661.312651,5.603650352641354e-09,5.828851212307359e-09
3662.888811,5.430801097767387e-09,5.649055449649961e-09
3664.464971,6.252613084721548e-09,6.503894616085203e-09
3666.041132,7.0567109607311824e-09,7.340307772588314e-09
3667.617292,7.561186304155438e-09,7.865057093486182e-09
3669.1934520000004,6.931381968123275e-09,7.209942028024056e-09
3670.7696129999995,5.885759026967188e-09,6.122297338468936e-09
3672.345773,5.98100017901363e-09,6.221366065036748e-09
3673.921933,8.36679748307456e-09,8.703044369883194e-09
3675.498094,9.297037698997852e-09,9.670669305255135e-09
3677.074254,7.52848914183142e-09,7.83104588967124e-09
3678.6504140000006,8.562004036311952e-09,8.906095931433922e-09
3680.2265749999997,7.702147233232455e-09,8.011682994574255e-09
