lambdag(A)1,fluxg1,lambda(A)1,flux1,fluxerror,lambda(A),flux,lambdag(A),fluxg,lambda2(galaxy),flux2(galaxy),lambda2,flux2,,waves1m,flux_corr1m,waves2m,flux_corr2m,wavesgm,flux_corrgm,,waves1,flux_corr1,waves2,flux_corr2,wavesg,flux_corrg
3354.05,0.003579624,3722.7983,2.66E-17,8.92E-18,3056.484669,2.48E-17,2753.735632,0.003579624,3837.475503,0.127128154,3150.636702,0.127128154,,3722.7983,3.10E-17,3354.05,0.004209038,3837.475503,0.147666356,,3056.484669,2.96E-17,2753.735632,0.004358021,3150.636702,0.150939206
3356,0.013628801,3723.9982,2.17E-17,8.62E-18,3057.469818,2.15E-17,2755.336617,0.0136288,3839.395266,0.108122855,3152.212862,0.108122855,,3723.9982,2.53E-17,3356,0.016024078,3839.395266,0.125584319,,3057.469818,2.57E-17,2755.336617,0.016590108,3152.212862,0.128362337
3357.95,0.010222524,3725.1982,8.43E-18,8.23E-18,3058.454968,8.77E-18,2756.937603,0.01022252,3841.315029,0.032480728,3153.789022,0.032480728,,3725.1982,9.82E-18,3357.95,0.012018318,3841.315029,0.037724345,,3058.454968,1.05E-17,2756.937603,0.012441979,3153.789022,0.038557221
3359.9,0.013528163,3726.3981,5.04E-18,8.29E-18,3059.440117,6.68E-18,2758.538588,0.01352816,3843.234792,0.026322011,3155.365183,0.026322011,,3726.3981,5.87E-18,3359.9,0.015903572,3843.234792,0.03056983,,3059.440117,7.97E-18,2758.538588,0.016463052,3155.365183,0.031243449
3361.85,0.02437756,3727.598,1.64E-17,8.88E-18,3060.425266,1.27E-17,2760.139573,0.02437756,3845.154556,0.033139203,3156.941343,0.033139203,,3727.598,1.91E-17,3361.85,0.028656066,3845.154556,0.038485219,,3060.425266,1.52E-17,2760.139573,0.029662122,3156.941343,0.039331632
3363.8,-0.000153141,3728.7979,-1.21E-17,7.62E-18,3061.410416,-8.32E-18,2761.740558,-0.000153,3847.074319,8.73E-04,3158.517503,8.73E-04,,3728.7979,-1.41E-17,3363.8,-0.000180006,3847.074319,0.001013424,,3061.410416,-9.93E-18,2761.740558,-0.000186142,3158.517503,0.001036035
3365.75,-0.003099142,3729.9978,1.02E-18,8.85E-18,3062.395565,-6.05E-19,2763.341544,-0.003099142,3848.994082,0.02569003,3160.093664,0.02569003,,3729.9978,1.19E-18,3365.75,-0.003642582,3848.994082,0.029831307,,3062.395565,-7.22E-19,2763.341544,-0.003769944,3160.093664,0.030484899
3367.7,0.000782246,3731.1977,3.49E-18,9.16E-18,3063.380714,3.93E-18,2764.942529,0.000782,3850.913846,0.045703225,3161.669824,0.045703225,,3731.1977,4.06E-18,3367.7,0.000919353,3850.913846,0.053067952,,3063.380714,4.69E-18,2764.942529,0.000951133,3161.669824,0.054228455
3369.65,0.007249773,3732.3976,8.72E-18,9.77E-18,3064.365864,9.00E-18,2766.543514,0.007249773,3852.833609,-0.012750078,3163.245984,-0.012750078,,3732.3976,1.02E-17,3369.65,0.008519897,3852.833609,-0.014803898,,3064.365864,1.07E-17,2766.543514,0.00881658,3163.245984,-0.015127026
3371.6,0.004412599,3733.5975,1.73E-17,1.01E-17,3065.351013,1.67E-17,2768.144499,0.004412599,3854.753372,0.007912502,3164.822145,0.007912502,,3733.5975,2.02E-17,3371.6,0.005185322,3854.753372,0.009186599,,3065.351013,1.99E-17,2768.144499,0.005365519,3164.822145,0.009386744
3373.55,-0.001959885,3734.7974,1.85E-17,9.91E-18,3066.336163,1.88E-17,2769.745484,-0.001959885,3856.673135,0.038618613,3166.398305,0.038618613,,3734.7974,2.16E-17,3373.55,-0.002302944,3856.673135,0.044834807,,3066.336163,2.24E-17,2769.745484,-0.002382811,3166.398305,0.045809789
3375.5,-0.006724098,3735.9974,2.16E-17,1.02E-17,3067.321312,2.16E-17,2771.34647,-0.006724098,3858.592899,0.0385697,3167.974465,0.0385697,,3735.9974,2.52E-17,3375.5,-0.007900571,3858.592899,0.044775713,,3067.321312,2.58E-17,2771.34647,-0.008174007,3167.974465,0.045747616
3377.45,0.00112961,3737.1973,2.03E-17,1.05E-17,3068.306461,1.92E-17,2772.947455,0.00112961,3860.512662,0.046742871,3169.550626,0.046742871,,3737.1973,2.36E-17,3377.45,0.001327164,3860.512662,0.054261177,,3068.306461,2.29E-17,2772.947455,0.001373004,3169.550626,0.055436814
3379.4,0.008649477,3738.3972,4.75E-18,9.90E-18,3069.291611,5.38E-18,2774.54844,0.008649477,3862.432425,-0.021959549,3171.126786,-0.021959549,,3738.3972,5.53E-18,3379.4,0.010161505,3862.432425,-0.025490289,,3069.291611,6.42E-18,2774.54844,0.010511758,3171.126786,-0.026041564
3381.35,0.007008615,3739.5971,1.99E-18,1.01E-17,3070.27676,3.79E-18,2776.149425,0.007008615,3864.352189,0.004926827,3172.702946,0.004926827,,3739.5971,2.32E-18,3381.35,0.008233274,3864.352189,0.005718685,,3070.27676,4.52E-18,2776.149425,0.008516484,3172.702946,0.005842138
3383.3,-0.003707105,3740.797,2.03E-17,1.06E-17,3071.261909,2.03E-17,2777.750411,-0.003707105,3866.271952,0.125739053,3174.279107,0.125739053,,3740.797,2.37E-17,3383.3,-0.004354593,3866.271952,0.145940704,,3071.261909,2.42E-17,2777.750411,-0.004504078,3174.279107,0.149085589
3385.25,0.003686724,3741.9969,5.83E-18,9.80E-18,3072.247059,7.26E-18,2779.351396,0.003686724,3868.191715,0.110601097,3175.855267,0.110601097,,3741.9969,6.79E-18,3385.25,0.004330376,3868.191715,0.128363949,,3072.247059,8.66E-18,2779.351396,0.004478728,3175.855267,0.131125143
3387.2,0.009295102,3743.1968,5.77E-18,9.58E-18,3073.232208,6.32E-18,2780.952381,0.009295102,3870.111478,0.095186219,3177.431427,0.095186219,,3743.1968,6.72E-18,3387.2,0.010917213,3870.111478,0.110467632,,3073.232208,7.54E-18,2780.952381,0.011290455,3177.431427,0.112839662
