F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut,,
0.001,0.154442179823874,3.64089200276072E+017,0.0161882949756508,23541.5285673685,0.0729800213720713,2.76277203422432E-024,True,,
0.001,0.177824015311156,3.16215611499802E+017,0.0186391283579037,20446.0853162519,0.0840288608505487,4.21714487224928E-024,True,,
0.001,0.204745753119021,2.74636855145317E+017,0.0214610066387455,17757.6576458553,0.096750443793964,6.4371257031822E-024,True,,
0.001,0.23574331817287,2.38525232345011E+017,0.0247101043087659,15422.727636608,0.111398015867162,9.82574433030281E-024,True,,
0.001,0.271433771966193,2.07161877218326E+017,0.0284511004179896,13394.8143666634,0.128263162963545,1.49981926866444E-023,True,,
0.001,0.312527596263699,1.79922446571797E+017,0.0327584661270481,11633.5486267351,0.147681615739284,2.28935107920502E-023,True,,
0.001,0.359842836500576,1.56264691240776E+017,0.0377179471876744,10103.8692994089,0.170039932927308,3.49450662047055E-023,True,,
0.001,0.414321386427342,1.35717661658357E+017,0.0434282708639262,8775.32540543374,0.19578319647428,5.33407769189906E-023,True,,
0.001,0.477047738174997,1.17872332769221E+017,0.0500031112734274,7621.46992298841,0.225423871685912,8.14203202722332E-023,True,,
0.001,0.549270570993779,1.02373461660673E+017,0.0575733522722328,6619.33331281927,0.259552008757515,1.24281439756699E-022,True,,
0.001,0.632427608427648,8.89125158225924E+016,0.0662896929300496,5748.96626883476,0.29884698876934,1.89705422631031E-022,True,,
0.001,0.728174238750622,7.72215312607686E+016,0.0763256474624221,4993.04259179587,0.344091047971581,2.89569765574577E-022,True,,
0.001,0.838416468405504,6.70677781984732E+016,0.0878809993388451,4336.51428059964,0.396184849583894,4.42004492923755E-022,True,,
0.001,0.965348864441625,5.8249128177607E+016,0.101185778326957,3766.31197513595,0.456165413093736,6.74683599570997E-022,True,,
0.001,1.1114982412631,5.0590030333352E+016,0.116504839642924,3271.0847875015,0.525226757967976,1.02984916854363E-021,True,,
0.001,1.27977396134977,4.39380167429422E+016,0.134143136364128,2840.97434245008,0.604743672727473,1.57198027434548E-021,True,,
0.001,1.4735258512759,3.81606672813227E+016,0.154451790060877,2467.41852895366,0.696299082550191,2.39949893480598E-021,True,,
0.001,1.69661088594766,3.31429735637698E+016,0.177835080493828,2142.98105620109,0.801715560203516,3.66263828630569E-021,True,,
0.001,1.95346996852731,2.87850495000745E+016,0.204758493519442,1861.20342104433,0.923091607586754,5.59071688748091E-021,True,,
0.001,2.24921633448472,2.50001428848104E+016,0.2357579874113,1616.47634004193,1.06284343013224,8.53377070644087E-021,True,,
0.001,2.5897373396156,2.17129084408668E+016,0.271450662059833,1403.92808672637,1.2237530356586,1.3026100934065E-020,True,,
0.001,2.98181165829732,1.88579079381145E+016,0.31254704343981,1219.32751125083,1.40902361516909,1.98832745079949E-020,True,,
0.001,3.4332442250215,1.63783075294084E+016,0.359865227889681,1058.99981184928,1.62234330804801,3.03501874552808E-020,True,,
0.001,3.95302160545385,1.42247463720886E+016,0.414347167769742,919.75338139164,1.86795862101453,4.63270714388769E-020,True,,
0.001,4.55149088995761,1.23543540128872E+016,0.477077422694025,798.816272784905,2.1507589623683,7.07144742109123E-020,True,,
0.001,5.24056567077343,1.07298969755432E+016,0.549304749612419,693.781018451353,2.47637397433098,1.07939843974886E-019,True,,
0.001,6.03396320319664,9.31903756243954E+015,0.632466961531906,602.556705417797,2.85128560105645,1.64761317217358E-019,True,,
0.001,6.94747747186569,8093690115394825,0.728219549733813,523.3273519855,3.28295712322214,2.51494634896033E-019,True,,
0.001,7.99929359803029,7029461920839306,0.838468639263089,454.515757394585,3.77998172786396,3.8388592935348E-019,True,,
0.001,9.21034984663358,6105167629600963,0.965408933727028,394.752104846407,4.3522535710006,5.85970379910915E-019,True,,
0.001,10.604754439601,5302407524967023,1.11156740476195,342.846692871391,5.01116473835219,8.94435716128518E-019,True,,
0.001,12.2102654727432,4605201243698621,1.27985359588415,297.76625221184,5.76983202500563,1.36528274758181E-018,True,,
0.001,14.0588434898712,3999669658566124,1.47361754211242,258.613376765297,6.64335804847788,2.08399211618325E-018,True,,
0.001,16.1872877140882,3473758589712869,1.69671645835499,224.608659124904,7.64913189309576,3.18104300959365E-018,True,,
0.001,18.6379686015747,3016998844832090,1.95359152411139,195.07517509302,8.80717527055165,4.85560120420092E-018,True,,
0.001,21.4596713006439,2620297811331360,2.249356293025,169.425008304824,10.1405410875748,7.41167691953001E-018,True,,
0.001,24.7085668066192,2275758451757060,2.58989848723498,147.147546710657,11.6757723549145,1.13133168168686E-017,True,,
0.001,28.4493301450915,1976522099261780,2.98199720292488,127.799317937814,13.4434305730314,1.72688500576139E-017,True,,
0.001,32.7564278429775,1716631923679752,3.43345786025204,110.995161186657,15.4787041129529,2.6359483000397E-017,True,,
0.001,37.7156003167731,1490914350260529,3.95326758407543,96.4005599219762,17.8221087031893,4.0235588457256E-017,True,,
0.001,43.4255686875676,1294876070490378,4.55177410861083,83.7249827282352,20.520293967148,6.1416325141024E-017,True,,
0.001,50,1124614594819350,5.24089176742775,72.7160997666078,23.6269720666005,9.37469821731351E-017,True,,
0.00115139539932645,0.05,1.20227769335251E+018,0.00516369411525139,77737.6935171565,0.0229360539546088,7.96279952126682E-026,True,,
0.00115139539932645,0.0575697699663224,1.04419185108419E+018,0.0059454536478295,67516.0709888472,0.0264084670020397,1.2154560258276E-025,True,,
0.00115139539932645,0.0662855682795055,9.06892499045099E+017,0.00684556797701953,58638.4755648175,0.0304065874094129,1.85529391613466E-025,True,,
0.00115139539932645,0.0763208983587617,7.87646450190456E+017,0.00788195547451674,50928.1829674848,0.0350100048524154,2.83195396797884E-025,True,,
0.00115139539932645,0.0878755312427396,6.84079900485289E+017,0.00907524727105449,44231.7061517504,0.0403103585174677,4.3227454189361E-025,True,,
0.00115139539932645,0.101179482386258,5.94131174126167E+017,0.010449197955642,38415.7398732229,0.046413161342212,6.59831627498849E-025,True,,
0.00115139539932645,0.116497590525769,5.16009682228822E+017,0.0120311584527775,33364.5070109675,0.053439900437619,1.00717885152472E-024,True,,
0.00115139539932645,0.134134789763986,4.48160277981553E+017,0.0138526204910956,28977.453818632,0.061530455504338,1.53737589512625E-024,True,,
0.00115139539932645,0.154442179823874,3.89232298690547E+017,0.0159498435020627,25167.2482238364,0.0708458833861554,2.34667818862281E-024,True,,
0.00115139539932645,0.177824015311156,3.38052678444123E+017,0.0183645764282518,21858.0413284255,0.0815716241920373,3.58201175029209E-024,True,,
0.00115139539932645,0.204745753119021,2.9360259615583E+017,0.0211448888100681,18983.9575016647,0.0939211928102977,5.46764709427865E-024,True,,
0.00115139539932645,0.23574331817287,2.54997194124263E+017,0.0243461276951817,16487.7830090081,0.108140429301029,8.34591476288039E-024,True,,
0.00115139539932645,0.271433771966193,2.21467963371604E+017,0.0280320194196464,14319.8270712678,0.124512392778392,1.27393542465737E-023,True,,
0.00115139539932645,0.312527596263699,1.92347445109786E+017,0.0322759381936105,12436.9326815486,0.143362996204168,1.94455792121801E-023,True,,
0.00115139539932645,0.359842836500576,1.67055943789863E+017,0.0371623667450678,10801.6174885049,0.165067494263134,2.9682081491601E-023,True,,
0.00115139539932645,0.414321386427342,1.45089987234263E+017,0.0427885780983533,9381.32764367801,0.190057953472917,4.53072624919392E-023,True,,
