SN,time,DL,Flux(Jy),Luminosity(erg/s/Hz),logl,logrt,freqtime,logt
,1074,2.159976E+026,0.00178,1.04372004807459E+028,28.0185840256006,3.03100428136354,1718.4,3.23512426401946
,1253,2.159976E+026,0.0019,1.11408319738298E+028,28.0469176242445,3.09795107099415,2004.8,3.30207105365007
,1351,2.159976E+026,0.00185,1.08476521850448E+028,28.0353357516947,3.13065534902203,2161.6,3.33477533167796
,1482,2.159976E+026,0.00167,9.79220494541886E+027,27.9908804944393,3.17084820364331,2371.2,3.37496818629923
,1743,2.159976E+026,0.00157,9.20584536784887E+027,27.9640636757009,3.24129738710999,2788.8,3.44541736976592
,1810,2.159976E+026,0.00172,1.00853847342039E+028,28.0036924701992,3.25767857486918,2896,3.46179855752511
,385,2.159976E+026,0.00067,3.92860916971894E+027,27.5942388259925,2.5854607295085,616,2.78958071216443
,438,2.159976E+026,0.00077,4.51496874728893E+027,27.6546547484642,2.6414741105041,700.8,2.84559409316002
,544,2.159976E+026,0.00121,7.0949508885969E+027,27.8509493936081,2.73559889969818,870.4,2.9397188823541
,588,2.159976E+026,0.00126,7.38813067738189E+027,27.8685345684092,2.76937732607614,940.8,2.97349730873206
,645,2.159976E+026,0.00138,8.09176217046588E+027,27.9080431096929,2.80955971463527,1032,3.01367969729119
,743,2.159976E+026,0.00178,1.04372004807459E+028,28.0185840256006,2.87098881376057,1188.8,3.0751087964165
,922,2.159976E+026,0.0019,1.11408319738298E+028,28.0469176242445,2.96473092105363,1475.2,3.16885090370955
,1020,2.159976E+026,0.00185,1.08476521850448E+028,28.0353357516947,3.00860017176192,1632,3.21272015441784
,1151,2.159976E+026,0.00167,9.79220494541886E+027,27.9908804944393,3.06107532362979,1841.6,3.26519530628572
,1412,2.159976E+026,0.00157,9.20584536784887E+027,27.9640636757009,3.14983469671578,2259.2,3.35395467937171
,1479,2.159976E+026,0.00172,1.00853847342039E+028,28.0036924701992,3.16996817399689,2366.4,3.37408815665282
,1615,2.159976E+026,0.00121,7.0949508885969E+027,27.8509493936081,3.20817252666712,2584,3.41229250932305
,1726,2.159976E+026,0.00128,7.50540259289589E+027,27.8753739929395,3.23704079137919,2761.6,3.44116077403511
,1905,2.159976E+026,0.00098,5.74632386018592E+027,27.7593900989842,3.27989498001164,3048,3.48401496266756
,1980,2.159976E+026,0.00097,5.68768790242892E+027,27.7549357575579,3.29666519026153,3168,3.50078517291746
,2129,2.159976E+026,0.00091,5.33587215588692E+027,27.7272054156128,3.32817566143832,3406.4,3.53229564409425
,2360,2.159976E+026,0.00062,3.63542938093395E+027,27.5605557127899,3.37291200297011,3776,3.57703198562603
,2497,2.159976E+026,0.0004,2.34543831027997E+027,27.3702240146196,3.39741854235135,3995.2,3.60153852500727
,2865,2.159976E+026,0.00036,2.11089447925197E+027,27.324466524059,3.45712462630341,4584,3.66124460895933
,2975,2.159976E+026,0.0003,1.75907873270997E+027,27.2452852780113,3.47348697006457,4760,3.67760695272049
,3361,2.159976E+026,0.0003,1.75907873270997E+027,27.2452852780113,3.52646851246948,5377.6,3.7305884951254
,3609,2.159976E+026,0.0002,1.17271915513998E+027,27.0691940189557,3.55738688205951,5774.4,3.76150686471543
,3956,2.159976E+026,0.00017,9.96811281868986E+026,26.9986129446699,3.59725628292514,6329.6,3.80137626558107
