rs,rho
100000000000000.0,2.5084445804836976e-14
117678578605647.42,2.31236189172964e-14
138482478626455.97,2.1316067972657446e-14
162964212465482.88,1.9649811538585872e-14
191773968865268.34,1.811380475973427e-14
225676880696284.62,1.66978661464244e-14
265573345444951.56,1.5392610086186873e-14
312522938075084.9,1.4189384630809123e-14
367772551343369.1,1.30802141465092e-14
432789510922601.7,1.2057746447090534e-14
509300544808050.9,1.1115204059646483e-14
599337641960935.1,1.0246339299777926e-14
705292018108232.9,9.445392858537668e-15
829977621928857.2,8.707055626593181e-15
976705868230833.5,8.026433502557926e-15
1149373582891997.2,7.399014952221143e-15
1352566495216105.2,6.8206411036415414e-15
1591681026266541.2,6.287478179878395e-15
1873067607646247.5,5.7959920866296085e-15
2204199337000918.0,5.3429249863293674e-15
2593870449417785.0,4.925273703426126e-15
3052429875746768.0,4.54026981769897e-15
3592056090712941.5,4.185361313660319e-15
4227080550268574.5,3.858195664407075e-15
4974368308071859.0,3.556604237790694e-15
5853765919548756.0,3.278587921542002e-15
6888628529026811.0,3.0223038720659777e-15
8106440138381870.0,2.7860532990705714e-15
9539543530365462.0,2.5682702050591703e-15
1.122599923200112e+16,2.3675110050461317e-15
