rs,rho
100000000000000.0,1.605991775242818e-11
119527547676711.5,1.1241060838043505e-11
142868346536084.8,7.868125522964845e-12
170767031020848.2,5.507255955382341e-12
204113644419548.2,3.854776854991721e-12
243972033648248.84,2.6981321954461684e-12
291613788836752.06,1.8885444262943875e-12
348558810483713.6,1.3218774291738457e-12
416623798382297.6,9.252416376499319e-13
497980209243927.2,6.476183563979557e-13
595223532024622.8,4.5329729929672104e-13
711456091023734.1,3.172832263318956e-13
850386018397261.9,2.2208084157518882e-13
1016445553575871.6,1.5544439825871285e-13
1214932443658214.0,1.0880254585955543e-13
1452178955833402.0,7.615580952501271e-14
1735753893784940.8,5.330488619169217e-14
2074704062944162.8,3.7310494230595e-14
2479842887986255.0,2.6115297849528333e-14
2964095390245298.0,1.8279274928776753e-14
3542910530758656.5,1.2794489032712226e-14
4234754073795785.5,8.955439985777833e-15
5061697694547719.0,6.268316392613921e-15
6050123125101532.0,4.387477383613929e-15
7231563802855452.0,3.070993323567151e-15
8643710872229861.0,2.1495267482440463e-15
1.03316156338416e+16,1.5045507282476601e-15
1.2349126802514548e+16,1.0531029193843548e-15
1.4760608426533194e+16,7.371142348304251e-16
1.7642993274397088e+16,5.159395014376067e-16
