rs,rho
100000000000000.0,1.5978323457738164e-11
115810525758288.31,1.191338404457109e-11
134120778764111.06,8.882578936947691e-12
155325979037827.72,6.622820877419863e-12
179883832962917.0,4.937952894732232e-12
208324412708514.47,3.68172101313028e-12
241261597640597.0,2.745078761886406e-12
279406324680421.5,2.046721460449006e-12
323581933614304.9,1.5260286133953547e-12
374741938577561.94,1.1378017839273785e-12
433990609303476.4,8.483411701094551e-13
502606806375952.8,6.325203133524183e-13
582071584960933.1,4.716050109318852e-13
674100162832855.8,3.516271045229588e-13
780678942714207.9,2.62171982419959e-13
904108388041570.6,1.954745452835916e-13
1047052677615724.1,1.4574516125304423e-13
1212597210913005.8,1.086671003524199e-13
1404315205288692.2,8.102182328029942e-14
1626344822548413.5,6.040959799584772e-14
1883478489636019.0,4.504119238831341e-14
2181266341391741.5,3.358256103443207e-14
2526136018154345.5,2.5039044168910286e-14
2925531403994037.0,1.8669026827638956e-14
3388073300189328.0,1.3919563396268067e-14
3923745502025434.5,1.037837949088379e-14
4544110295312845.0,7.738084722231621e-15
5262558024038314.0,5.769489853500756e-15
6094596115973735.0,4.301712163219723e-15
7058183804753402.0,3.207342070974305e-15
