rs,rho
100000000000000.0,2.1082056934317714e-12
117141304552743.7,1.662830176914829e-12
137220852323186.52,1.3115438431236202e-12
160742296529774.6,1.0344695906511578e-12
188295623123017.62,8.159295166475865e-13
220571949342020.56,6.435578021367518e-13
258380858936659.84,5.0760100748993e-13
302670708872987.8,4.0036618614413315e-13
354552416872854.9,3.1578558876437736e-13
415327326448144.4,2.490733271749496e-13
486519848365388.9,1.9645457081415018e-13
569915697283247.0,1.5495195262985016e-13
667606682648461.2,1.2221709845843874e-13
782043177335703.0,9.639774718606695e-14
916095580096769.4,7.603294285135479e-14
1073126313475380.8,5.997036826471556e-14
1257074163103826.8,4.730114256969762e-14
1472553073855307.8,3.730839334724021e-14
1724967880945635.0,2.9426693279161866e-14
2020649878855535.5,2.3210066144805586e-14
2367015628534809.5,1.8306751809851804e-14
2772752986233002.0,1.4439302315496244e-14
3248039020098496.0,1.1388882829890893e-14
3804795280525531.5,8.98288915066087e-15
4456986827168832.0,7.085181110238342e-15
5220972513089510.0,5.588379253370286e-15
6115915312173219.0,4.407788903853281e-15
7164262982020716.0,3.4766078213490877e-15
8392311118728365.0,2.742146279487066e-15
9830862726603366.0,2.162845683062086e-15
