rs,rho
100000000000000.0,2.429547122297865e-13
117411500282219.95,2.0692582212628284e-13
137854603985217.34,1.76239824573316e-13
161857158747156.0,1.501043970562442e-13
190038918399210.25,1.2784471427027244e-13
223127545212616.47,1.0888602390990181e-13
261977398377021.62,9.273880637601461e-14
307591593834787.94,7.898613521937831e-14
361147905063416.9,6.727291196307069e-14
424029173572765.1,5.729669734341864e-14
497859014326082.0,4.879990222907942e-14
584543738010522.9,4.1563136585240935e-14
686321572603924.0,3.5399544751013624e-14
805820455154792.6,3.0149980765022475e-14
946125885978255.4,2.5678899164520937e-14
1110860597285510.8,2.1870855157115893e-14
1304278093316947.8,1.8627523798388833e-14
1531372477215761.0,1.5865161209603984e-14
1798007400408021.8,1.3512442283310558e-14
2111067464004391.2,1.1508619045690583e-14
2478635981457369.5,9.801952123963596e-15
2910203692364024.5,8.348374818823384e-15
3416913816473161.5,7.110355287818096e-15
4011849775271582.0,6.055927460876566e-15
4710373010215234.0,5.157865665901585e-15
5530519620182471.0,4.392981652992863e-15
6493466059458772.0,3.741525866234169e-15
7624075920727261.0,3.186677503686389e-15
8951541921181351.0,2.7141101987681178e-15
1.0510139668050878e+16,2.3116221087749147e-15
