rs,rho
100000000000000.0,9.681192929590858e-14
120356212631655.56,8.043783297850762e-14
144856179190363.44,6.68331374174123e-14
174343411036445.8,5.552944543207912e-14
209833126496305.97,4.613758128300725e-14
252547203897545.8,3.833419170824935e-14
303956249718230.94,3.1850613167406086e-14
365830230218079.94,2.6463622002532906e-14
440299409752149.2,2.1987749052492576e-14
529927693817221.0,1.8268894119977866e-14
637800901964683.1,1.5179020443164778e-14
767633009735234.1,1.2611746507527105e-14
923894017427715.6,1.0478683427937994e-14
1111963848106446.2,8.706391800486033e-15
1338317573414139.2,7.233853251208139e-15
1610748344345134.5,6.0103696294822784e-15
1938635702280909.5,4.99381751723669e-15
2333268507990400.5,4.1491979583306015e-15
2808233606744383.5,3.4474314766193447e-15
3379883610926880.0,2.8643568962825743e-15
4067899905469650.0,2.3798994947180583e-15
4895970259869967.0,1.9773798482689278e-15
5892604376351741.0,1.6429395749769863e-15
7092115452744143.0,1.3650642032124459e-15
8535801554387241.0,1.1341867389846835e-15
1.0273367468614468e+16,9.423582831206295e-16
1.236463599495696e+16,7.829743579624527e-16
1.488160758922074e+16,6.505475212639849e-16
1.7910939273091104e+16,5.405184385910802e-16
2.155692815584823e+16,4.490989096219827e-16
