rs,rho
100000000000000.0,2.6190997068782898e-12
115973194420506.1,2.0970829164387823e-12
134497818240965.06,1.6791100953010613e-12
155981416239933.97,1.3444440799364198e-12
180896631115797.47,1.076480862770354e-12
209791601704069.53,8.61925806512984e-13
243302022122154.34,6.901340484782446e-13
282165127144748.8,5.525823699325531e-13
327235911490449.06,4.4244632797580467e-13
379505939846533.75,3.542616699174972e-13
440125161455589.5,2.83653231674231e-13
510427209188457.2,2.2711786984454976e-13
591958739687292.8,1.8185065792575617e-13
686513460066724.4,1.4560572363004563e-13
796171589766125.8,1.1658482292918103e-13
923345625720303.2,9.334812257767447e-14
1070833417689845.9,7.474276470848822e-14
1241879721417200.0,5.984566932902071e-14
1440247583788009.0,4.791773693958333e-14
1670301130483109.0,3.8367179098415846e-14
1937101577463087.2,3.07201576281853e-14
2246518578553956.8,2.4597275767389347e-14
2605359358799170.0,1.9694754906527466e-14
3021518474533025.0,1.576936301793365e-14
3504151494921695.0,1.2626347023438055e-14
4063876425994608.0,1.010977038038746e-14
4713007308527841.0,8.094776498256684e-15
5465825128971677.0,6.481394145592558e-15
6338892003507201.0,5.189577510826744e-15
7351415547333320.0,4.155234836195335e-15
