SN2016aps,luma,days_a,lum_a,SN2010jl,daysb,lumb,SN2009ip,days_c,lumc,lum_c,SN2012ca,days_d,lumd,lum_d,SN2006gy,days_e,lume,lum_e,PS1-10adi.,days_f,lumf,lum_f
,,,,,581.7747263,1.15E+42,,47.62466013,41.87287861,7.46E+41,,357.4561528,42.19033073,1.55E+42,,134.7736003,10.13916649,5.30E+43,,,,
,,,,,588.1837123,1.03E+42,,50.86458023,41.81412184,6.52E+41,,367.6433616,42.14934507,1.41E+42,,141.2343575,10.10855703,4.94E+43,,,,
,,,,,752.0200366,4.11E+41,,54.10494485,41.74851961,5.60E+41,,373.2090818,42.13830361,1.38E+42,,146.8140281,10.02463298,4.07E+43,,,,
,,,,,786.7481461,3.82E+41,,57.3416793,41.73882189,5.48E+41,,391.4341304,42.07840891,1.20E+42,,153.3505416,9.95449815,3.46E+43,,,,
,,,,,863.4299822,2.85E+41,,60.57952503,41.71201055,5.15E+41,,395.9863939,42.0216368,1.05E+42,,165.1602084,9.902708253,3.07E+43,,,,
,,,,,,,,63.82051937,41.63671061,4.33E+41,,403.8897865,42.0154241,1.04E+42,,172.5695167,9.781372535,2.32E+43,,,,
,,,,,,,,66.76811261,41.54924097,3.54E+41,,407.8347508,41.97122959,9.36E+41,,177.4557103,9.769607668,2.26E+43,,,,
,,,,,,,,68.98186508,41.43655252,2.73E+41,,441.6754321,41.76098598,5.77E+41,,189.0871664,9.690807531,1.89E+43,,,,
,,,,,,,,71.05201932,41.27000368,1.86E+41,,448.5948937,41.699299,5.00E+41,,194.6538385,9.677942671,1.83E+43,,,,
,,,,,,,,73.26820271,41.11987917,1.32E+41,,464.9477993,41.59147243,3.90E+41,,202.3361599,9.637493862,1.67E+43,,,,
,,,,,,,,75.62544508,41.06271967,1.16E+41,,472.9199294,41.47628867,2.99E+41,,208.6702284,9.625152531,1.62E+43,,,,
,,,,,,,,80.33549954,41.01662698,1.04E+41,,497.9226553,41.23300195,1.71E+41,,215.1385531,9.628095737,1.63E+43,,,,
,,,,,,,,82.54232353,41.01063721,1.02E+41,,498.3669687,41.14131548,1.38E+41,,221.3351894,9.617831693,1.60E+43,,,,
,,,,,,,,87.39761042,40.99323836,9.85E+40,,523.7736158,40.75230863,5.65E+40,,226.3770904,9.58922329,1.49E+43,,,,
,,,,,,,,89.60413807,40.99181222,9.81E+40,,529.5752006,40.54322206,3.49E+40,,,,,,,,
,,,,,,,,93.57755475,40.96357474,9.20E+40,,530.6806693,40.64632276,4.43E+40,,,,,,,,
