F_peak,nu_peak,Radius,v_shock,Mdot
0.02224732673832501,3.0228674473064983,8.086095247094643e+16,3140.5525634185706,1.2375973657478907
0.02561489379671978,2.2804388816254275,1.1458716340031614e+17,4450.442379849863,0.9063405247613494
0.02561489379671978,2.6267030813869265,9.948175132732293e+16,3863.764395511529,1.0439602079927695
0.02561489379671978,3.0228674473064983,8.644408903410053e+16,3357.3955922170453,1.2014122766241222
0.02559637163689697,3.4799452365041796,7.506425646819075e+16,2915.415115311543,1.3832844936073363
0.02559637163689697,4.008343722532922,6.51689375488838e+16,2531.09155433148,1.5933238426470393
0.029455082409233155,2.280209350104065,1.2243821991018198e+17,4755.368984028343,0.8799855487582628
0.029455082409233155,2.6246862098921215,1.0636881955529822e+17,4131.250729976583,1.0129271396175765
0.029455082409233155,3.0232212802315397,9.234678773758589e+16,3586.6500713920104,1.1667310447528836
0.03389536939329216,2.2786878834983137,1.3094599208311725e+17,5085.801719362413,0.8537834639033796
