F_peak,nu_peak,Radius,v_shock,Mdot
0.029452665266285274,2.3202666695258167,6.331499236324164e+16,2213.251952921047,1.1474967058978744
0.0339117711990598,2.014398340802337,7.796520658678408e+16,2725.3678678207157,0.9670952358478648
0.0339117711990598,2.3202666695258167,6.768747094954632e+16,2366.097217668527,1.1139399772843608
0.03395837057984743,2.672870828538606,5.87963963580751e+16,2055.2989774942957,1.2828512698086287
0.039045729173623915,1.7504052240185253,9.591973871843245e+16,3352.990202135721,0.8157806943957887
0.03905867586992572,2.0153833955881466,8.332150620141845e+16,2912.6037836762825,0.9392088745171101
0.03908186660673685,2.320520581924097,7.238548201325576e+16,2530.321862946005,1.0812737661314815
0.044972088750282954,1.5198151021332575,1.1812058943713149e+17,4129.047726201631,0.6875522048460454
0.04497284371570727,1.7502016874332995,1.0257268320866806e+17,3585.551904129037,0.7917744563690547
0.04497284371570727,2.0146187812889944,8.911010107902882e+16,3114.951102049772,0.9113942134779089
0.05178082640761199,1.3199747323950894,1.4539601184608115e+17,5082.4930265978355,0.5796834136729746
0.051751592932645245,1.5194819722836432,1.2627180442935418e+17,4413.98328138129,0.6673788525303557
0.05182139912777752,1.7504052240185253,1.0968333276460616e+17,3834.1132389536447,0.7685856031850427
0.059674601319351366,1.1470616992280196,1.7894518384785446e+17,6255.244813817782,0.4889216717240816
0.05966749811415945,1.3205016789178035,1.5543304198617078e+17,5433.349525665783,0.562862546006952
0.05966749811415945,1.5210080204025094,1.3494313649163011e+17,4717.100156309655,0.6483281774865814
0.06870110143763274,0.9961826483177638,2.2026478031558262e+17,7699.621163915896,0.4122044811005345
0.06870110143763274,1.1464270146079116,1.9139809982666234e+17,6690.551517347599,0.47437320201681576
0.06870110143763274,1.3205016789178035,1.6616711336992243e+17,5808.571942444827,0.546402519929328
0.07910187247128643,0.8648612249028617,2.712301758660174e+17,9481.178059417958,0.34740102552338165
0.07910187247128643,0.9961826483177638,2.3547535437023277e+17,8231.325132833204,0.40015075675644884
0.09107664727767381,0.7515167190029217,3.3369128232935245e+17,11664.581400422609,0.29304535267920645
0.09107664727767381,0.8648612249028617,2.89959325768361e+17,10135.878092549112,0.3372427469165118
0.1048635428877831,0.652448294727296,4.1089907772921485e+17,14363.47304632417,0.2469757989594347
0.1048635428877831,0.7515167190029217,3.5673245290555226e+17,12470.013319024047,0.2844768598631981
0.12073668651573771,0.5669411497791246,5.055216222684408e+17,17671.118260751842,0.20833343184684386
0.12064938167575404,0.6525246651578842,4.390681905817591e+17,15348.158374488916,0.2398192595090874
0.13883754816091484,0.5665058331830755,5.405186127398303e+17,18894.48028949198,0.20214045094025127
